system,threat_title
CI/CD,"Supply Chain Attacks to Application Library, Tools, Container Images in CI/CD Pipelines."
CI/CD,"Use developer’s credentials to access to Git Repository Service \ (Personal token, SSH key, browser cookie, or login password is stolen)"
CI/CD,Use SSH key or Tokens to access to CI/CD Service Servers directly
CI/CD,"Use SSH key, Tokens to access to Server hosting Git Repository"
CI/CD,Modify CI/CD Configuration on Git Repository
CI/CD,"For example, Terraform allows code execution and file inclusion. The code is executed during CI(plan stage). Code Execution: Provider installation(put provider binary with .tf), Use External provider. File inclusion: file Function"
CI/CD,Inject code to source code. Application executes test code during CI
CI/CD,Inject bad dependency
CI/CD,Connect to CI/CD pipeline servers via SSH or Valid Token
CI/CD,Modify the configuration of Production environment via stolen credentials
CI/CD,"Deploy modified applications or server images (e.g. container image, function, VM image) to production environment via stolen credentials"
CI/CD,Compromise CI/CD Server from pipeline
CI/CD,Implant container images for CI/CD with malicious code to establish persistence
CI/CD,Get high privilege credential in CI stage (not CD)
CI/CD,Privilege Escalation from CI/CD Environment to other components
CI/CD,Change Approver using Git Repository Service Admin permission
CI/CD,Bypass Peer Review of Git Repository
CI/CD,Use a CI/CD system in a different repository to leverage stolen credentials to access secret manager
CI/CD,Implant bad code to caches of CI/CD pipeline
CI/CD,Dump Environment Variables in CI/CD
CI/CD,Access to Cloud Metadata to get access token of Cloud resources
CI/CD,Read credentials file mounted in CI/CD pipeline
CI/CD,Get credential from CI/CD Admin Console
CI/CD,Exploit services from CI/CD Pipeline
CI/CD,"In monorepo architecture of Git Repository, there are many approvers. Need to set access controls carefully"
CI/CD,Exfiltrate data in Production environment via stolen credentials
CI/CD,Exfiltrate data from Git Repositories
CI/CD,Denial of Services of CI/CD pipeline
ecs,AWS account: Weak password
ecs,Phishing email: MFA
ecs,Over granted privileges: IAM permission boundary & SCPs
ecs,Fargate Container: Vulnerable application code
ecs,Weak Auth: SAST in CI
ecs,Weak communication encryption: App Mesh
ecs,Tampered image: Private registry authentication
ecs,S3: Misconfiguration
ecs,RDS: Misconfiguration
PSM,Attack amplification via password sync
PSM,"HTTP login page: Consider a web site that serves its login page over HTTP, but submits the login form over HTTPS. Attacker can easily inject the required JavaScript into the login form at the router and mount all the sweep attacks discussed in the previous section"
PSM,HTTP login page: SSLstrip attacks
PSM,"Embedded devices: Many embedded devices serve their login pages over HTTP by default because the channel is assumed to be protected by a WiFi encryption protocol such as WPA2. By injecting JavaScript into the HTTP login page as above, an attacker can extract passwords for embedded devices and corporate servers that the user has previously interacted with."
PSM,"Embedded devices: An attacker can purchase a valid certificate for the same common name as the router’s or generate its own self signed certificate. When the user’s machine connects to the attacker’s network, the attacker can spoof the user’s home router by presenting a valid certificate for the router’s web site. This allows the attacker to mount the sweep attack and extract the user’s home router password."
PSM,"Broken HTTPS: Consider a public site whose login page is served over HTTPS. This can be exploited in our redirect sweep attack: when the browser is redirected to the victim site, the attacker serves the modified login page using a self signed certificate for that site."
PSM,"Active Mixed Content: Any HTTPS webpage containing active content (e.g., scripts) that is fetched over HTTP is also a potential vector.  For example, embedding a Shockwave Flash (SWF) file over HTTP if not blocked correctly can be used by a network attacker to inject arbitrary scripts."
PSM,XSS Injection: A cross-site scripting vulnerability in a page allows the attacker to inject JavaScript to modify the page as needed.
PSM,Leftover Passwords: An attacker could spoof the old site to steal the leftover password.
PSM,"Password Exfiltration: Once the password manager has autofilled the login form, the attacker must be able to access the filled-in credentials and send them to a server under its control. We briefly describe two methods for accomplishing this."
PSM,"Password Exfiltration (Stealth): Using stealth exfiltration, the attacker waits until the login form is populated with the user’s credentials automatically by a password manager, then steals the password by loading an attacker controlled page in an invisible iFrame and passing the credentials as parameters"
PSM,"Password Exfiltration (Action): An HTML form’s “action” is the URL to which the form’s data will be submitted. The attacker can modify a login form’s action attribute so that it submits to an attacker-controlled site, thereby leaking the user’s credentials to the attacker"
PSM,"Attacks that need user interaction: If the user’s password manager requires user input to fill passwords and an attacker can trick the user to interact with the login form without them realizing it, the same exfiltration techniques can be used to steal the password as soon as the password form is filled."
PSM,Clickjacking: The attacker presents the user with a benign form seemingly unrelated to the target site
IoT_sc,Sabotage: The assembly pipeline may provide malicious actors with the opportunity to interfere and inject defects that may end up causing problems (up to the total shutdown and malfunction of the product) in later stages.
IoT_sc,"Grey markets: Defective, discarded or lost products may end up in grey markets that exist outside of the proper distribution channels."
IoT_sc,Exploitation of inadequate physical enclosures: Some devices require to be physically tamper-proof depending on the scenario. The choice of materials and construction method must be adequate for the intended use of the product.
IoT_sc,"IP theft: Malicious actors may be able to illegally acquire, exploit, store or redistribute intellectual property and sensitive pieces of information (e.g. design documents, source code, credentials or other secrets)."
IoT_sc,"Reverse engineering: The consequences of reverse engineering are arguably similar to those of IP theft; the main difference resides in the method used to obtain the sensitive assets and pieces of information (e.g. source code from the binaries, deep understanding of hardware blocks)."
IoT_sc,"Overproduction and cloning: Overproducing is the practice of fabricating a product whose design documents and specifications have been provided willingly by the rightful owner, with the particularity that this is done outside of the established bounds of a legal contract."
IoT_sc,Magnetic field attacks: Devices that are deployed in the field may be exposed to magnetic field attacks.
IoT_sc,Malware insertion: Attackers are presented with the opportunity to insert malicious software whose main objective is to provide illicit access or any other functionality that goes against the intended usage of the system.
IoT_sc,"Exploitation of debug interfaces: Debugging IoT devices without compromising confidentiality, integrity and availability is a relevant challenge—there are no standards to incorporate debugging interfaces such as JTAG."
IoT_sc,"Tampering and counterfeits: Counterfeit products are sold by unauthorized suppliers who are not part of manufacturer's official sales channel. These products, which have been designed and manufactured by unknown parties, are labeled as the manufacturer’s products."
IoT_sc,Implications due to standard and regulation non-compliance: Architecting processes around privacy/encryption is a challenge that is affected by existing privacy laws and regulations and by the fact that some actors in the supply chain ecosystem have their own different understanding about the security aspects.
IoT_sc,Compromise of Network: Systems that are necessary for the control of supply chain processes and exist in a network could become compromised without the proper QoS or firewall policies.
IoT_sc,Use of factory authentication settings: Devices which require authentication should never leave the factory with a fixed global default credentials or a credentials derived from easily obtainable information (i.e. MAC address).
IoT_sc,Undetected software or hardware disruptions of the devices: Systems related in any fashion to the operation of the supply chain should ideally be extensively monitored for an early detection of hardware of software issues.
IoT_sc,"User Errors: Users should be properly informed and trained to raise awareness about the functionality and the security risks; whether in the case of internal members of an organization operating critical supply chain systems and tools, or end users whose compromised devices could be used to gain access to other nodes that could disrupt the supply chain."
IoT_sc,Technological evolution during device life cycle: The technological landscape is constantly evolving. This evolution can result in unexpected vulnerabilities that were not present during the design and implementation stages; this is especially impactful in the case of devices with long life cycles (e.g. cars).
IoT_sc,Use of unpatched devices and systems: It is a common occurrence to discover vulnerabilities during the device life cycle that were not considered in the first stages of the supply chain.
IoT_sc,Disruptions in cloud services: Systems that depend on cloud services and are critical to the operation of the supply chain should be able to perform their core functionality even when disconnected for extended periods of time.
IoT_sc,"Failure of recovery procedures: Due to an attack, the system (and the device) is not able to be recovered impacting functionality and security. During the lifecycle of an IoT device, several assets (firmware, configuration, credentials) might need to be updated. Chain of trust must be considered since depending the asset to be updated (impacted), different mechanisms must be used."
IoT_sc,"Attack to registration procedures: A lack of registration procedures, or insecure registration mechanisms, could lead to attackers registering fraudulent devices or preventing the registration of genuine devices"
IoT_sc,Use of recovered or repurposed components: Organizations may opt to reuse components or parts that have already gone through the regular supply chain flow; this could be done for reasons such as cost optimization.
IoT_sc,Attack to manufacturing processes: Manufacturing pipelines are highly sensitive points of entry to the supply chain. Processes that do not implement adequate measures to regulate and monitor the access of personnel to the pipeline could cause serious vulnerabilities; this could in turn lead to other discussed threats such as sabotage or malware injection.
Trinity,Attacker steals seed by monitoring the Android Clipboard
Trinity,Attacker steals funds by manipulating receiving address copied to the clipboard.
Trinity,Changing date/time of the system prevents users from logging in to the application. Application gets stuck at the Loading Screen.
Trinity,Attacker steals sensitive information using phishing attack
Trinity,Desktop-only: Attacker Obtains Seeds by monitoring the Volatile Memory during new seed setup
Conn_Cars,Remotely transmitting and installing malicious firmware and/or apps
Conn_Cars,Using RF modules to access the head unit via complex exploit chains
Conn_Cars,Remotely hijacking vehicles via compromised CAN bus
Conn_Cars,Deleting local files in a compromised connected car’s file system
Conn_Cars,Installing malware or spyware in a connected car
Conn_Cars,Spoofing V2X messages being broadcast to the ecosystem
Conn_Cars,Passively sniffing V2X messages being broadcast to the ecosystem
Conn_Cars,Sending incorrect or improper commands to back-end ITSs
Conn_Cars,Sending MItM communications and false data to back-end ITSs
Conn_Cars,Sniffing network traffic between a connected car and back-end ITSs
Conn_Cars,Performing an MItM attack with wireless transmission to intercept and modify car data
Conn_Cars,Dumping firmware to recover credentials and configurations
Conn_Cars,Installing malicious third-party apps in a connected car’s infotainment system
Conn_Cars,Installing a malicious app on a connected mobile phone
Conn_Cars,"Exploiting vulnerabilities in software, hardware, operating systems, and protocols"
Conn_Cars,Attacking the camera system’s image processing with specially crafted visuals
Conn_Cars,Identifying and abusing device misconfigurations
Conn_Cars,"Conducting social engineering attacks such as creating fake RDS-TMC messages, phishing, and map poisoning"
Conn_Cars,Credential brute-forcing and abusing weak authentication methods
Conn_Cars,Injecting malicious scripts via malvertising
Conn_Cars,"Performing traditional attacks such as SQL injection, cross-site scripting (XSS), session hijacking, and DNS spoofing"
Conn_Cars,Pivoting a connected car as a trusted entry point to the V2X network
